,mean_diff,studentized,p_lower,p_consistent,p_upper
nodeembed::NE_d16_k10_signed_shift _single,-7.354762516721337e-05,-1.0609821656036635,0.8144,0.5828,0.7716
nodeembed::NE_d16_k10_signed_shift _average,-5.44269295905755e-05,-0.6872230913906886,0.8144,0.5828,0.7716
nodeembed::NE_d16_k10_distance     _single,-0.0001363213305298338,-1.6320438316117598,0.8144,0.5828,0.7716
nodeembed::NE_d16_k10_distance     _average,-4.920585359256513e-05,-0.6913208554647071,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_absolute_corr_single,-6.0717690551791905e-05,-0.804076802949297,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_absolute_corr_average,-3.356264447161107e-05,-0.43092401230597444,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_signed_shift _single,-3.390067293501899e-05,-0.5483014547573984,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_signed_shift _average,-7.322489520974847e-05,-1.030331671328799,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_distance     _single,-2.5935169445047767e-05,-0.39520389350775537,0.8144,0.5828,0.7716
nodeembed::NE_d16_k15_distance     _average,-8.772764310713174e-05,-1.3003911232238448,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_absolute_corr_single,-0.00016163449139652532,-2.002755609817013,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_absolute_corr_average,-5.107934882520044e-05,-0.7271305683404276,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_signed_shift _single,-0.00013132436746653823,-1.5918382824294495,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_signed_shift _average,-0.00013351313958770395,-1.7892693358969027,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_distance     _single,-8.799052225010413e-05,-1.3416767176069082,0.8144,0.5828,0.7716
nodeembed::NE_d32_k5_distance     _average,-8.234481744622782e-05,-1.2664429687126575,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_absolute_corr_single,-9.274855425073428e-05,-1.3292552739020147,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_absolute_corr_average,-0.00012492466008141945,-1.407790893127,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_signed_shift _single,-0.00011434855931983444,-1.6384662326354402,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_signed_shift _average,-3.036872014775429e-05,-0.45695653041471695,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_distance     _single,-7.350510996256207e-05,-1.157278789067342,0.8144,0.5828,0.7716
nodeembed::NE_d32_k10_distance     _average,-8.150311050109128e-05,-1.0027249623258245,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_absolute_corr_single,-3.4869633376860265e-05,-0.5274804535058959,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_absolute_corr_average,-0.0001078087312417673,-1.6343401399026247,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_signed_shift _single,-2.874851504494745e-05,-0.40760324726596003,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_signed_shift _average,-5.577309341385063e-05,-0.7919830356940505,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_distance     _single,-0.00010649762073151791,-1.5751624521215106,0.8144,0.5828,0.7716
nodeembed::NE_d32_k15_distance     _average,-4.7975645240566944e-05,-0.7244929984094464,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_absolute_corr_single,-0.00018770989375073788,-2.147424755034587,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_absolute_corr_average,-3.7859290229393684e-05,-0.5448334188286856,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_signed_shift _single,-6.214725616310927e-05,-0.7849489746273134,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_signed_shift _average,-0.0001264708596711614,-1.7543596454720372,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_distance     _single,-3.2007960242101627e-05,-0.44216797717720907,0.8144,0.5828,0.7716
nodeembed::NE_d64_k5_distance     _average,-9.113898032046847e-05,-1.2162281631716134,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_absolute_corr_single,-9.568542713329094e-05,-1.3265306753343578,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_absolute_corr_average,-7.561395502368643e-05,-1.114474932060975,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_signed_shift _single,-7.035805839423135e-05,-1.074202601092195,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_signed_shift _average,-6.429578647353835e-05,-0.9699914525003864,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_distance     _single,-9.17477326302437e-05,-1.3806737883474134,0.8144,0.5828,0.7716
nodeembed::NE_d64_k10_distance     _average,-8.588730754039662e-05,-1.0512614384703218,0.8144,0.5828,0.7716
nodeembed::NE_d64_k15_absolute_corr_single,-9.552979956585623e-05,-1.3670454364086038,0.8144,0.5828,0.7716
